"nid","path","title","created","pictures","body","tags"
"4027","/nyhed/ny-sportsjournalistlinje-starter-11-oktober","Ny sportsjournalistlinje starter 11. oktober","Torsdag, 5. oktober 2017 - 13:57","sites/vih.local/files/20170103-img_20170103_112017_-_kopi.jpg","Du kan stadig nå at være med. Martin Davidsen vil være din primære underviser på linjen, men du vil også møde journalistiske personligheder såsom Dan Phillipsen - formand for Journalistforbundet. Du får lov til at prøve dig af og forbedre dig i forhold til det journalistiske og du får tid og vejledning i forhold til at forberede dig til optagelsesprøven på journaliststudiet.Samtidig bliver du en del af et højskolefællesskab med oplevelser, idræt og masser af muligheder for personlig udvikling.",""
"4019","/nyhed/hoejskoleelever-underviser-lokale-boern-i-efteraarsferien","Højskoleelever underviser lokale børn i efterårsferien","Torsdag, 28. september 2017 - 11:30","sites/vih.local/files/2k2a4260.jpg, sites/vih.local/files/2k2a4264.jpg","Vejle Idrætshøjskole og DGI inviterer børn i alderen 8-13 år fra Vejle og omegn på idrætscamp i efterårsferien. Børnene vil bruge to dage af deres efterårsferie på at dyrke idræt, få nye venner og hygge sig. Børnene vil bliver undervist i på camp med fokus på enten fodbold, håndbold, fitness/dance eller friluftsliv. Vi vil gerne give vores elever på Vejle Idrætshøjskole en oplevelse af at stå som trænere for unge mennesker, så de kan udvikle sig til gode samfundsborgere, der vil tage del i vores unikke danske foreningsliv. Det bruger eleverne noget af efterårsferien på at øve sig på.- En del af vores mål er at koble undervisningen til noget praktisk, og det er en oplagt mulighed for at stifte bekendtskab med det frivillige foreningsliv, siger højskolens viceforstander Lars Olesen. Rasmus Jørgensen er initiativtager til idrætscampen. Han var elev på skolen i 2013 og har lige siden været med til at arrangere idrætscampen.- Jeg er nu tilbage på højskolen som unglærer, men jeg arrangerede den første camp kort efter jeg var elev på idrætshøjskolen. Dengang var det kun fodbold, men vi kunne lige så godt udvide succesen til også at gælde flere idrætsområder. Det er fedt at komme tilbage på sin gamle skole og byde ind med noget af det, jeg brænder for. Og det er inspirerende at være med til at kunne præge højskolens elever til, at de i fremtiden også vil være en del af den frivillige foreningsidræt, siger skoleleder for DGI Rasmus Jørgensen.Man kan tilmelde sig idrætscamp via DGI's hjemmeside:Friluftsliv: https://www.dgi.dk/arrangementer/201710026000 Fitness & Dance: https://www.dgi.dk/arrangementer/201710556020Håndbold: https://www.dgi.dk/arrangementer/201710656006 Fodbold: https://www.dgi.dk/arrangementer/201710406024",""
"4018","/nyhed/unglaerer-foraaret-2018-soeges","Unglærer foråret 2018 søges...","Torsdag, 21. september 2017 - 21:26","sites/vih.local/files/20131017-2k2a6015-040.jpg","""Unglærer"" søges til Vejle Idrætshøjskoles forårshold 2018 søges.Stillingen er fra den 1/1 2018 til den 1/8 2018. Du er også velkommen til at skrive, hvis du kunne være interesseret til efteråret 2018.Unglærerstillingen er en fuldtidsstilling på Vejle Idrætshøjskole, som er målrettet unge, der endnu ikke er færdige med deres uddannelse, men gerne vil lære en masse om at undervise.Det forventes, at du bor på skolen i ansættelsesperioden.Dine opgaverSom unglærer skal du være med til at hjælpe med afviklingen af timer på VIH. Din opgave er at give en hjælpende hånd med det praktiske og sørge for at timerne forløber godt i samarbejde med den ansvarlige lærer.Du er med i alle temauger og fællesrejser. Du skal have værtskab på højskolen både hverdag og weekend. Du deltager på lærermøder, pædagogisk forum og medarbejderarrangementer.Stillingen kan indeholde andre opgaver f.eks. markedsføringsopgaver, messer, gymnasiebesøg, hjælp i kursuscenteret, arrangere ""venneweekend"" og projektansvar afhængig af dine evner og interesser.AflønningDu vil blive aflønnet med 5.000,- kr. pr. måned.Ansøgning og spørgsmålAnsøgningsfristen er 14. oktober 2017 og ansøgningen udfyldes online.Hvis du har spørgsmål, er du velkommen til at kontakte forstander, Ole Damgaard på mobil 6130 3604.Se i øvrigt hvad den ene af vores nuværende unglærere siger om jobbet og hvad den anden unglærer siger.","stillingsopslag"
"4000","/nyhed/ny-svoemmesoe-mangler-kun-2-mio-kr","Ny svømmesø mangler ""kun"" 2 mio. kr.","Onsdag, 16. august 2017 - 11:02","sites/vih.local/files/aquascape_vih_birdseye_tanken_opdateret.jpg","Nyt udendørs område - Outdoor AquaScape - Vi er så tæt på! Som du måske allerede har hørt, ønsker Vejle Idrætshøjskole at skabe et nyt udendørs område på skolerne. Det nye område centrerer sig om det gamle friluftsbassin, der omdannes til en miljø- og energirigtig svømmesø, hvor vandet renses biologisk via filtre og planter, i modsætning til konventionelle bassiner med klorrensning af vandet.Læs mere om projektet.Planen er, at området skal stå klar til brug i foråret 2018. Måske kan du hjælpe? Projektet koster ca. 15 mio. kr. og via skolernes opsparing samt støtte fra forskellige fonde mangler vi nu ""kun"" godt 2 mio. i finansiering. Planerne er således afhængig af yderligere økonomisk støtte udefra og vi rækker ud til både større og mindre bidragsydere.  Projektet er almennyttigt, da faciliteterne vil være åbne for offentligheden. Vi har nu siden starten af 2016 arbejdet på at finansiere projektet og har mødt opbakning fra flere både store og små fonde. (Se nedenfor)Måske kan du hjælpe?Tip os, hvis du kender en mere ukendt fond (vi har selv undersøgt ca. 200 fonde), som kunne tænkes at ville støtte projektet. Skriv til dina@vih.dk. Måske kender du en virksomhed, som vil tegne et sponsorat/indgå i et samarbejde med skolen omkring projektet. Skriv til dina@vih.dkØnsker du selv at støtte projektet, kan du:Blive medlem af Vejle Idrætshøjskoles fond med skattefradrag for minimum 200 kr.Indbetale et andet beløb til fonden via Mobile Pay - Tlf: 8182 4242 (HUSK at skrive FOND på indbetalingen)Følg projektet på Facebook.Bidragsydere til Outdoor AquaScape:Jubilæumsfonden af 12. augustLokale- og AnlægsfondenVejle KommuneIsabellafondenFriluftsrådetNature MovesSydbankfondenBodil og Jørgen Munch-Christensens kulturlegatVelux fondenJyske Bank fondenVAF fondenØstifterneInsero FondElly og Jens Rasmussens FondVejle Idrætshøjskoles og Vejle Idrætsefterskoles Fond",""
"3984","/nyhed/outdoor-aquascape-nyt-udendoersomraade-med-renoveret-friluftsbad","Outdoor AquaScape - Nyt udendørsområde med renoveret friluftsbad","Lørdag, 1. juli 2017 - 0:20","sites/vih.local/files/aquascape_vih_friluftsbadet.jpg","Vejle Idrætshøjskole ønsker at skabe et nyt, unikt aktivitets- og oplevelsesområde under overskriften: Outdoor AquaScape – aktivitetszoner og rekreativt univers.Tanken er at omdanne skolernes friluftsbad til en miljø- og energirigtig svømmesø, hvor vandet renses biologisk via filtre og planter, i modsætning til konventionelle bassiner med klorrensning af vandet.Det nye område forsynes med nye faciliteter såsom udendørs sauna, vildmarksbad, ly/læ, samlingssteder, vandpost, luftpumpe, MTB-vask, toiletfaciliteter, udendørs køkken, bruserskyl, renoverede indendørs omklædningsrum, outdoorskur til grej. Den dybe ende i det nye bassin vil rumme en fun zone med klatrereb samt fleksible features til vandtræningsaktiviteter inden for kajak, SUP (yoga), dykning, vandvolley, vandpolo, balancetræning mm.Outdoor AquaScape vil være åbent for offentligheden. Følg projektet, se billeder og kom med gode ideer på projektets Facebookside.Læs mere om planerne for svømmesøen og om hvordan du kan støtte projektet på hjemmesiden for Vejle Idrætshøjskoles fond.Læs mere om udbuddet for projekt Outdoor AquaScape.  Se også: ""Ny svømmesø mangler kun 2 mio. kr.""Se også: ""Crowdfunding - hjælp os i mål med nyt svømmesøområde""",""
"3972","/nyhed/stort-tillykke-til-cecilie-med-optagelse-paa-politiskolen","Stort tillykke til Cecilie med optagelse på politiskolen","Tirsdag, 9. maj 2017 - 11:07","sites/vih.local/files/cecilie_damgaard.jpg","VIH-elev Cecilie Damgaard kan se frem til at starte på politiskolen i Brøndby til august 2017. Cecilie startede på politilinjen på Vejle Idrætshøjskole i august 2016. Politilinjen handler om at afklare elever og forberede dem til optagelsesprøven på Politiskolen. Ansøgningen til politiskolen blev sendt ind d. 1. december og efter optagelsesprøver i februar fik Cecilie at vide i slutningen af marts, at hun var blevet optaget på Politiskolen. Læs interview med Cecilie nedenfor billedet.Hvornår fandt du ud af, at du gerne ville ind til Politiet?”Det har jeg altid vidst. Enten Forsvaret eller Politiet. Jeg har været ansat to år i Forsvaret nu, så jeg tænkte, at jeg ville prøve Politiet. Men jeg vidste godt, at jeg skulle på et forberedende kursus inden. ”Hvilke forventninger havde du til det politiforberedende kursus på Vejle Idrætshøjskole?Jeg havde en forventning om at få nogle redskaber med, som jeg kunne bruge – specielt med hensyn til det skriftlige. Jeg blev konstateret ordblind i 1.g, så jeg vidste godt, at jeg havde nogle udfordringer der. Og så ville jeg også gerne have hjælp til samtalen.Hvordan har det så været?Det har været mega godt. Jeg har været virkeligt glad for det. Specielt at have Martin O. og Sikjær som lærere. De har vist virkeligt stor interesse i os og i vores optagelsesforløb. Så jeg føler virkeligt, at jeg har fået al den hjælp, som jeg skulle have.Følte du dig klar til prøven?Jeg følte mig meget mere klar. Også fordi vi havde skrevet helt vildt mange cases i timerne. Vi fik en ret svær case til prøven, men fordi vi har arbejdet så meget med det på politilinjen, så vidste jeg, at det var fint og jeg vidste lige præcis, hvad jeg skulle gøre for at hive det op. Alle de ting ville jeg slet ikke have været opmærksom på, hvis jeg ikke havde været her. Ellers ville jeg helt sikkert have dumpet den prøve.Hvordan har det været at være på politilinjen?Vi var ca. 15 andre elever på linjen. Det var et fint antal. Mange af os var med hinanden og vi kunne bruge hinanden til at diskutere prøverne med. Og nu her efter at jeg er blevet optaget, så kommer alle nye politielever og vil høre om tricks til alt muligt. Det er lidt sjovt.Glæder du dig?Ja, mega meget, men lige nu er jeg også bare spændt på at få at vide, hvor jeg får praktikplads, så jeg ved, hvor jeg skal bo de næste flere år af mit liv. Cecilie har følgeskab af VIH-eleverne Peter Danielsen og Line Frost, som også er kommet ind på Politiskolen.Vi glæder os altid, når det går vores elever godt. Og det er altid lidt særligt, når nogle af vores politielever bliver optaget på Politiskolen. Stort tillykke fra VIH!",""
"3953","/nyhed/x-terraloeb-med-loeberne","X-Terraløb med løberne","Mandag, 10. april 2017 - 13:15","sites/vih.local/files/17799422_1304037752997531_3692907069177813679_n.jpg, sites/vih.local/files/17795820_1304037746330865_2958465933589036645_n.jpg, sites/vih.local/files/17799242_1304037869664186_8345660368818825210_n.jpg","Maraton og Triatlonfaget, der til efterår bliver til ""Triatlon, Swimrun and Xterra"", har brugt en del af undervisningen på at forberede sig til et fælles mål. Nemlig deltagelse i X-Terraløb i Hedeland i Roskilde. Alle elever stillede op til en fælles oplevelse, men nedenfor kan du læse elev Jesper Frederik Andresens oplevelse af løbet:[Her er] Nogle billeder fra en rigtig fed tur til XTERRA Duathlon i Hedeland Roskilde med maraton og triatlon faget fra Højskolen. Løbet bestod af 5 km terrænløb, 20 km mtb, både med brede spor og singletracks og igen 5 km terrænløb til sidst. Det var et godt løb, hvor jeg fik startet ud blandt de forreste og holdt mig godt til.. Bl.a. fik jeg løbet lige bagved OL og VM medaljetageren Eskild Ebbesen, men lod ham dog løbe til sidst for ikke selv at gå helt kold. Efter første løbetur lå jeg nr. 15 og efter skiftezonen, hvor jeg endte med at have det 3 hurtige skift, lå jeg nr. 12. På første omgang af mountainbikeruten blev jeg dog overhalet af nogle få stykker, men fandt dog en, som jeg lå og kørte godt med. Desværre efter en nedkørsel blev mit dæk helt fladt og jeg tænker fuck, da vi selvfølgelig ikke har taget lappegrej med ud på ruten. Sætter mig ned og tænker over, hvad jeg skal gøre.. Ender med, at tage cyklen op og løbe med den de sidste 8 km, da jeg ikke vil udgå i mit første XTERRA Duathlon race. Løber de sidste 5 km og ender som nr. 155. Alt i alt et super godt løb, bare ærgerligt med sådan en punktering, men jeg må bare tage revanche i et andet løb snart, haha!! ",""
"3945","/nyhed/masser-af-nye-fag-til-august","Masser af nye fag til august","Torsdag, 23. marts 2017 - 14:12","sites/vih.local/files/subjects/2k2a0602.jpg","Vi har arbejdet hårdt for at gøre vores fag endnu federe. Fra august vil det være muligt at vælge mellem endnu flere fag. Der er stadig tale om fag inden for boldspil, fitness, endurance eller outdoor, men fagene har fået nyt indhold. Nedenfor kan du se mere om de nye fag:   Cardio attackFunctional trainingStepYoSurf'n'ClimbTrail, track & road runningFitness HoldtræningToughestTriatlon, Swimrum & X-terraTest & træningTeambuilding & personlig powerTeamplayer & coachingSportsjournalistikMed de nye fag får du bl.a. nye muligheder for at lære en masse i vores testcenter, udnytte skolens mange fagkompetencer og de smukke, udfordrende omgivelser med skov og fjord. De nye fag supplerer de aktuelle fag, som du kan læse mere om.Se mere om vores alle vores fag.  Åbent hus flere gange i foråretVi vil gerne se endnu flere til vores åbent hus arrangementer. Kender du nogen, der kender nogen, der kunne være interesseret i et højskoleophold på Vejle Idrætshøjskole.Se mere om åbent hus arrangementerne.",""
"3838","/nyhed/unglaerer-e2017-soeges","Unglærer Efteråret 2017 søges...","Torsdag, 22. december 2016 - 8:58","sites/vih.local/files/20131017-2k2a6015-040.jpg","""Unglærer"" søges til Vejle Idrætshøjskoles efterårshold 2017Stillingen er fra den 1/8 2017 til den 31/12 2017. Du er også velkommen til at skrive, hvis du kunne være interesseret til foråret 2018.Unglærerstillingen er en fuldtidsstilling på Vejle Idrætshøjskole, som er målrettet unge, der endnu ikke er færdige med deres uddannelse, men gerne vil lære en masse om at undervise.Det forventes, at du bor på skolen i ansættelsesperioden.Dine opgaverSom unglærer skal du være med til at hjælpe med afviklingen af timer på VIH. Din opgave er at give en hjælpende hånd med det praktiske og sørge for at timerne forløber godt i samarbejde med den ansvarlige lærer.Du er med i alle temauger og fællesrejser. Du skal have værtskab på højskolen både hverdag og weekend. Du deltager på lærermøder, pædagogisk forum og medarbejderarrangementer.Stillingen kan indeholde andre opgaver f.eks. markedsføringsopgaver, messer, gymnasiebesøg, hjælp i kursuscenteret, arrangere ""venneweekend"" og projektansvar afhængig af dine evner og interesser.AflønningDu vil blive aflønnet med 5.000,- kr. pr. måned.Ansøgning og spørgsmålAnsøgningsfristen er 28. januar 2017 og ansøgningen udfyldes online.Hvis du har spørgsmål, er du velkommen til at kontakte forstander, Ole Damgaard på mobil 6130 3604.Se i øvrigt hvad den ene af vores nuværende unglærere siger om jobbet og hvad den anden unglærer siger.","stillingsopslag"
"3747","/nyhed/nyt-mountainbike-og-trailspor-i-baghaven","Nyt mountainbike og trailspor i baghaven","Torsdag, 25. august 2016 - 9:33","sites/vih.local/files/_mg_7998.jpg","Inden længe åbner det nye mountainbikespor i Nørreskoven, hvor SRAMLIGA#5 C1 og de nordiske mesterskaber også skal køres d. 9-10. september.Det nye spor er omkring seks kilometer langt, og det bugter sig på kryds og tværs i skoven. Sporet er indrettet med fede detaljer, så det kan køres hurtigt af de dygtigste, men det er ikke er vanskeligere, end at uøvede kan bruge det med fordel.
  Video of Mountainbikespor i baghaven

Se også vores andre faciliteter.",""
